,date,total_rides
265,11/21/2020,307051
266,11/22/2020,221488
267,11/23/2020,422000
268,11/24/2020,399619
269,11/25/2020,399491
270,11/26/2020,176309
271,11/27/2020,328570
272,11/28/2020,296001
273,11/29/2020,221958
274,11/30/2020,386227
275,12/01/2020,429270
276,12/02/2020,427528
277,12/03/2020,443437
278,12/04/2020,441508
279,12/05/2020,307377
280,12/06/2020,218421
281,12/07/2020,405900
282,12/08/2020,414284
283,12/09/2020,437089
284,12/10/2020,441827
285,12/11/2020,416113
286,12/12/2020,274066
287,12/13/2020,228724
288,12/14/2020,404977
289,12/15/2020,410195
290,12/16/2020,407797
291,12/17/2020,413166
292,12/18/2020,429409
293,12/19/2020,303376
294,12/20/2020,237868
295,12/21/2020,418588
296,12/22/2020,430051
297,12/23/2020,421462
298,12/24/2020,293789
299,12/25/2020,121644
300,12/26/2020,252087
301,12/27/2020,211713
302,12/28/2020,384869
303,12/29/2020,381995
304,12/30/2020,370666
305,12/31/2020,369125
306,01/01/2021,176192
307,01/02/2021,277911
308,01/03/2021,212831
309,01/04/2021,414986
310,01/05/2021,416238
311,01/06/2021,414386
312,01/07/2021,405432
313,01/08/2021,410008
314,01/09/2021,306465
315,01/10/2021,217279
316,01/11/2021,391970
317,01/12/2021,414748
318,01/13/2021,422536
319,01/14/2021,413381
320,01/15/2021,417916
321,01/16/2021,289833
322,01/17/2021,216493
323,01/18/2021,340835
324,01/19/2021,407724
325,01/20/2021,388951
326,01/21/2021,431984
327,01/22/2021,403328
328,01/23/2021,287491
329,01/24/2021,213534
330,01/25/2021,401400
331,01/26/2021,361570
332,01/27/2021,401180
333,01/28/2021,405411
334,01/29/2021,433878
335,01/30/2021,294386
336,01/31/2021,195366
337,02/01/2021,430722
338,02/02/2021,434419
339,02/03/2021,467975
340,02/04/2021,426108
341,02/05/2021,389982
342,02/06/2021,250502
343,02/07/2021,175096
344,02/08/2021,371897
345,02/09/2021,397836
346,02/10/2021,408481
347,02/11/2021,416056
348,02/12/2021,430028
349,02/13/2021,292287
350,02/14/2021,194673
351,02/15/2021,315170
352,02/16/2021,321027
353,02/17/2021,428758
354,02/18/2021,438418
355,02/19/2021,444684
356,02/20/2021,304168
357,02/21/2021,227327
358,02/22/2021,426904
359,02/23/2021,465842
360,02/24/2021,464093
361,02/25/2021,458171
362,02/26/2021,473782
363,02/27/2021,359678
364,02/28/2021,245208
365,03/01/2021,458932
366,03/02/2021,465138
367,03/03/2021,496976
368,03/04/2021,469191
369,03/05/2021,485400
370,03/06/2021,353741
371,03/07/2021,268977
372,03/08/2021,476779
373,03/09/2021,492208
374,03/10/2021,473810
375,03/11/2021,483178
376,03/12/2021,495675
377,03/13/2021,395742
378,03/14/2021,260686
379,03/15/2021,410808
380,03/16/2021,458754
381,03/17/2021,475863
382,03/18/2021,454335
383,03/19/2021,508772
384,03/20/2021,387769
385,03/21/2021,299091
386,03/22/2021,483957
387,03/23/2021,463511
388,03/24/2021,489351
389,03/25/2021,484468
390,03/26/2021,496641
391,03/27/2021,373645
392,03/28/2021,272716
393,03/29/2021,481699
394,03/30/2021,494806
395,03/31/2021,482476
396,04/01/2021,508681
397,04/02/2021,509746
398,04/03/2021,409566
399,04/04/2021,283619
400,04/05/2021,479830
401,04/06/2021,520459
402,04/07/2021,521581
403,04/08/2021,473709
404,04/09/2021,517527
405,04/10/2021,342807
406,04/11/2021,283444
407,04/12/2021,496482
408,04/13/2021,514332
409,04/14/2021,494527
410,04/15/2021,501056
411,04/16/2021,533230
412,04/17/2021,392473
413,04/18/2021,289845
414,04/19/2021,473015
415,04/20/2021,480079
416,04/21/2021,487030
417,04/22/2021,524496
418,04/23/2021,545691
419,04/24/2021,384074
420,04/25/2021,288608
421,04/26/2021,513411
422,04/27/2021,546100
423,04/28/2021,476258
424,04/29/2021,511505
425,04/30/2021,565495
426,05/01/2021,436644
427,05/02/2021,322131
428,05/03/2021,508787
429,05/04/2021,514161
430,05/05/2021,540442
431,05/06/2021,509998
432,05/07/2021,563205
433,05/08/2021,416954
434,05/09/2021,267180
435,05/10/2021,493719
436,05/11/2021,528112
437,05/12/2021,531064
438,05/13/2021,553503
439,05/14/2021,576780
440,05/15/2021,401510
441,05/16/2021,333349
442,05/17/2021,523353
443,05/18/2021,533572
444,05/19/2021,530392
445,05/20/2021,565636
446,05/21/2021,579997
447,05/22/2021,453190
448,05/23/2021,314450
449,05/24/2021,534814
450,05/25/2021,551050
451,05/26/2021,557789
452,05/27/2021,543673
453,05/28/2021,530750
454,05/29/2021,475763
455,05/30/2021,387682
456,05/31/2021,342781
457,06/01/2021,570853
458,06/02/2021,579447
459,06/03/2021,613559
460,06/04/2021,618929
461,06/05/2021,477159
462,06/06/2021,352818
463,06/07/2021,546749
464,06/08/2021,589695
465,06/09/2021,599377
466,06/10/2021,621239
467,06/11/2021,646958
468,06/12/2021,489409
469,06/13/2021,403974
470,06/14/2021,589644
471,06/15/2021,611403
472,06/16/2021,617147
473,06/17/2021,620086
474,06/18/2021,635626
475,06/19/2021,515000
476,06/20/2021,352900
477,06/21/2021,587480
478,06/22/2021,632595
479,06/23/2021,602540
480,06/24/2021,585626
481,06/25/2021,595757
482,06/26/2021,423469
483,06/27/2021,396785
484,06/28/2021,556342
485,06/29/2021,576135
486,06/30/2021,594600
487,07/01/2021,655570
488,07/02/2021,644141
489,07/03/2021,507571
490,07/04/2021,382256
491,07/05/2021,416226
492,07/06/2021,633526
493,07/07/2021,633397
494,07/08/2021,652397
495,07/09/2021,692787
496,07/10/2021,514515
497,07/11/2021,355273
498,07/12/2021,600978
499,07/13/2021,625805
500,07/14/2021,658276
501,07/15/2021,635423
502,07/16/2021,660079
503,07/17/2021,541780
504,07/18/2021,417565
505,07/19/2021,625953
506,07/20/2021,655049
507,07/21/2021,666671
508,07/22/2021,666423
509,07/23/2021,685158
510,07/24/2021,530941
511,07/25/2021,420444
512,07/26/2021,633502
513,07/27/2021,666376
514,07/28/2021,688817
515,07/29/2021,756857
516,07/30/2021,765313
517,07/31/2021,603531
518,08/01/2021,467565
519,08/02/2021,634395
520,08/03/2021,675416
