,date,total_rides
266,11/07/2024,21095
267,11/06/2024,22213
268,11/05/2024,20482
269,11/04/2024,17384
270,11/03/2024,21185
271,11/02/2024,26259
272,11/01/2024,21802
273,10/31/2024,21832
274,10/30/2024,23085
275,10/29/2024,20500
276,10/28/2024,18514
277,10/27/2024,22517
278,10/26/2024,28106
279,10/25/2024,19850
280,10/24/2024,21326
281,10/23/2024,22285
282,10/22/2024,35562
283,10/21/2024,38905
284,10/20/2024,40097
285,10/19/2024,34111
286,10/18/2024,22727
287,10/17/2024,20243
288,10/16/2024,19110
289,10/15/2024,18667
290,10/14/2024,19600
291,10/13/2024,31517
292,10/12/2024,34560
293,10/11/2024,20769
294,10/10/2024,19657
295,10/09/2024,21445
296,10/08/2024,21247
297,10/07/2024,18733
298,10/06/2024,29832
299,10/05/2024,36518
300,10/04/2024,24733
301,10/03/2024,23370
302,10/02/2024,20990
303,10/01/2024,20591
304,09/30/2024,20537
305,09/29/2024,12023
306,09/28/2024,13835
307,09/27/2024,20153
308,09/26/2024,17705
309,09/25/2024,18391
310,09/24/2024,17909
311,09/23/2024,16791
312,09/22/2024,31191
313,09/21/2024,38054
314,09/20/2024,23152
315,09/19/2024,22805
316,09/18/2024,20503
317,09/17/2024,21771
318,09/16/2024,21260
319,09/15/2024,33289
320,09/14/2024,40396
321,09/13/2024,24772
322,09/12/2024,23330
323,09/11/2024,24454
324,09/10/2024,23062
325,09/09/2024,20347
326,09/08/2024,36585
327,09/07/2024,21182
328,09/06/2024,20940
329,09/05/2024,23766
330,09/04/2024,24597
331,09/03/2024,23274
332,09/02/2024,46006
333,09/01/2024,34637
334,08/31/2024,37683
335,08/30/2024,22716
336,08/29/2024,24586
337,08/28/2024,25090
338,08/27/2024,28055
339,08/26/2024,23068
340,08/25/2024,45217
341,08/24/2024,47915
342,08/23/2024,29586
343,08/22/2024,25685
344,08/21/2024,27273
345,08/20/2024,25763
346,08/19/2024,21417
347,08/18/2024,23372
348,08/17/2024,36329
349,08/16/2024,29523
350,08/15/2024,28232
351,08/14/2024,27912
352,08/13/2024,28963
353,08/12/2024,24911
354,08/11/2024,43233
355,08/10/2024,48486
356,08/09/2024,12812
357,08/08/2024,14782
358,08/07/2024,15342
359,08/06/2024,20291
360,08/05/2024,27900
361,08/04/2024,21597
362,08/03/2024,33042
363,08/02/2024,21843
364,08/01/2024,26528
365,07/31/2024,22607
366,07/30/2024,26467
367,07/29/2024,22518
368,07/28/2024,44652
369,07/27/2024,51525
370,07/26/2024,30757
371,07/25/2024,25151
372,07/24/2024,22052
373,07/23/2024,22864
374,07/22/2024,22933
375,07/21/2024,45347
376,07/20/2024,47926
377,07/19/2024,30703
378,07/18/2024,25762
379,07/17/2024,23188
380,07/16/2024,24463
381,07/15/2024,22735
382,07/14/2024,38283
383,07/13/2024,33334
384,07/12/2024,20160
385,07/11/2024,26275
386,07/10/2024,24721
387,07/09/2024,24758
388,07/08/2024,23075
389,07/07/2024,35737
390,07/06/2024,37335
391,07/05/2024,29663
392,07/04/2024,42313
393,07/03/2024,27935
394,07/02/2024,28369
395,07/01/2024,27007
396,06/30/2024,20736
397,06/29/2024,35964
398,06/28/2024,29093
399,06/27/2024,28814
400,06/26/2024,23002
401,06/25/2024,26269
402,06/24/2024,23102
403,06/23/2024,32231
404,06/22/2024,37563
405,06/21/2024,25135
406,06/20/2024,24693
407,06/19/2024,43043
408,06/18/2024,25926
409,06/17/2024,26876
410,06/16/2024,45335
411,06/15/2024,50735
412,06/14/2024,22254
