,date,total_rides
265,11/08/2024,797935
266,11/07/2024,859751
267,11/06/2024,820141
268,11/05/2024,756552
269,11/04/2024,763881
270,11/03/2024,409568
271,11/02/2024,540995
272,11/01/2024,790292
273,10/31/2024,892575
274,10/30/2024,918837
275,10/29/2024,957107
276,10/28/2024,807535
277,10/27/2024,532302
278,10/26/2024,566722
279,10/25/2024,817611
280,10/24/2024,910467
281,10/23/2024,939478
282,10/22/2024,910483
283,10/21/2024,825514
284,10/20/2024,468083
285,10/19/2024,569960
286,10/18/2024,820771
287,10/17/2024,906451
288,10/16/2024,923931
289,10/15/2024,920556
290,10/14/2024,566848
291,10/13/2024,491024
292,10/12/2024,585590
293,10/11/2024,769800
294,10/10/2024,865731
295,10/09/2024,915785
296,10/08/2024,907925
297,10/07/2024,813917
298,10/06/2024,450280
299,10/05/2024,554665
300,10/04/2024,816991
301,10/03/2024,884935
302,10/02/2024,896783
303,10/01/2024,881071
304,09/30/2024,797005
305,09/29/2024,416620
306,09/28/2024,609568
307,09/27/2024,801967
308,09/26/2024,892503
309,09/25/2024,899454
310,09/24/2024,895457
311,09/23/2024,795138
312,09/22/2024,409374
313,09/21/2024,565220
314,09/20/2024,818097
315,09/19/2024,913515
316,09/18/2024,891201
317,09/17/2024,887592
318,09/16/2024,797229
319,09/15/2024,449979
320,09/14/2024,577121
321,09/13/2024,814721
322,09/12/2024,882804
323,09/11/2024,897288
324,09/10/2024,887775
325,09/09/2024,794125
326,09/08/2024,410228
327,09/07/2024,531276
328,09/06/2024,779157
329,09/05/2024,869929
330,09/04/2024,869941
331,09/03/2024,852355
332,09/02/2024,413326
333,09/01/2024,459406
334,08/31/2024,518929
335,08/30/2024,744782
336,08/29/2024,807875
337,08/28/2024,848859
338,08/27/2024,872293
339,08/26/2024,758796
340,08/25/2024,422057
341,08/24/2024,542477
342,08/23/2024,732430
343,08/22/2024,774539
344,08/21/2024,796879
345,08/20/2024,794553
346,08/19/2024,684847
347,08/18/2024,394196
348,08/17/2024,490212
349,08/16/2024,695247
350,08/15/2024,754781
351,08/14/2024,768493
352,08/13/2024,768665
353,08/12/2024,687825
354,08/11/2024,404995
355,08/10/2024,502637
356,08/09/2024,577002
357,08/08/2024,688592
358,08/07/2024,769339
359,08/06/2024,786328
360,08/05/2024,696505
361,08/04/2024,417439
362,08/03/2024,502773
363,08/02/2024,745222
364,08/01/2024,793845
365,07/31/2024,791058
366,07/30/2024,804122
367,07/29/2024,733637
368,07/28/2024,418510
369,07/27/2024,539589
370,07/26/2024,737007
371,07/25/2024,801496
372,07/24/2024,824035
373,07/23/2024,847869
374,07/22/2024,703012
375,07/21/2024,422564
376,07/20/2024,524744
377,07/19/2024,728247
378,07/18/2024,803127
379,07/17/2024,787917
380,07/16/2024,794126
381,07/15/2024,709149
382,07/14/2024,401887
383,07/13/2024,542094
384,07/12/2024,697991
385,07/11/2024,800003
386,07/10/2024,782766
387,07/09/2024,787336
388,07/08/2024,732818
389,07/07/2024,403189
390,07/06/2024,490915
391,07/05/2024,643222
392,07/04/2024,663415
393,07/03/2024,826035
394,07/02/2024,843054
395,07/01/2024,777725
396,06/30/2024,398782
397,06/29/2024,529601
398,06/28/2024,752046
399,06/27/2024,836447
400,06/26/2024,829819
401,06/25/2024,823737
402,06/24/2024,728516
403,06/23/2024,402197
404,06/22/2024,533705
405,06/21/2024,705142
406,06/20/2024,797777
407,06/19/2024,570445
408,06/18/2024,826080
409,06/17/2024,727212
410,06/16/2024,422680
411,06/15/2024,546862
412,06/14/2024,783245
413,06/13/2024,857563
414,06/12/2024,907495
415,06/11/2024,892081
416,06/10/2024,778129
417,06/09/2024,478182
418,06/08/2024,677915
419,06/07/2024,832167
420,06/06/2024,881319
421,06/05/2024,858507
422,06/04/2024,872000
423,06/03/2024,801259
424,06/02/2024,414369
425,06/01/2024,530943
426,05/31/2024,770888
427,05/30/2024,854059
428,05/29/2024,831489
429,05/28/2024,834562
430,05/27/2024,376154
431,05/26/2024,451730
432,05/25/2024,537006
433,05/24/2024,765473
434,05/23/2024,823029
435,05/22/2024,886868
436,05/21/2024,896302
437,05/20/2024,795613
438,05/19/2024,428035
439,05/18/2024,468900
440,05/17/2024,778883
441,05/16/2024,877301
442,05/15/2024,856250
443,05/14/2024,824487
444,05/13/2024,775068
445,05/12/2024,381808
446,05/11/2024,518723
447,05/10/2024,729237
448,05/09/2024,842275
449,05/08/2024,904895
450,05/07/2024,887147
451,05/06/2024,762789
452,05/05/2024,374104
453,05/04/2024,485687
454,05/03/2024,806332
455,05/02/2024,865356
456,05/01/2024,884556
457,04/30/2024,865560
458,04/29/2024,774962
459,04/28/2024,451596
460,04/27/2024,500721
461,04/26/2024,789282
462,04/25/2024,876227
463,04/24/2024,876167
464,04/23/2024,870463
