"service_date","day_type","bus","rail_boardings","total_rides"
"07/16/2020","W","306,288","154,912","461,200"
"07/17/2020","W","315,882","161,335","477,217"
"07/18/2020","A","219,217","109,549","328,766"
"07/19/2020","U","148,461","80,714","229,175"
"07/20/2020","W","307,261","149,404","456,665"
"07/21/2020","W","297,659","148,632","446,291"
"07/22/2020","W","306,629","152,652","459,281"
"07/23/2020","W","315,401","156,970","472,371"
"07/24/2020","W","318,269","161,024","479,293"
"07/25/2020","A","228,619","116,404","345,023"
"07/26/2020","U","163,332","90,069","253,401"
"07/27/2020","W","295,579","144,168","439,747"
"07/28/2020","W","314,899","153,221","468,120"
"07/29/2020","W","305,332","152,279","457,611"
"07/30/2020","W","307,576","156,312","463,888"
"07/31/2020","W","338,021","164,604","502,625"
"08/01/2020","A","235,944","117,414","353,358"
"08/02/2020","U","169,536","89,199","258,735"
"08/03/2020","W","324,028","152,552","476,580"
"08/04/2020","W","326,128","157,759","483,887"
"08/05/2020","W","319,021","157,695","476,716"
"08/06/2020","W","320,751","159,609","480,360"
"08/07/2020","W","326,107","164,886","490,993"
"08/08/2020","A","232,723","118,676","351,399"
"08/09/2020","U","175,080","93,832","268,912"
"08/10/2020","W","250,672","96,642","347,314"
"08/11/2020","W","309,009","138,581","447,590"
"08/12/2020","W","313,739","146,680","460,419"
"08/13/2020","W","313,917","150,941","464,858"
"08/14/2020","W","315,311","155,653","470,964"
"08/15/2020","A","215,071","107,720","322,791"
"08/16/2020","U","172,492","89,599","262,091"
"08/17/2020","W","304,431","147,684","452,115"
"08/18/2020","W","313,038","155,406","468,444"
"08/19/2020","W","317,835","158,653","476,488"
"08/20/2020","W","317,199","160,843","478,042"
"08/21/2020","W","322,563","165,104","487,667"
"08/22/2020","A","229,626","119,732","349,358"
"08/23/2020","U","167,737","93,123","260,860"
"08/24/2020","W","295,919","152,126","448,045"
"08/25/2020","W","306,720","156,020","462,740"
"08/26/2020","W","311,882","158,419","470,301"
"08/27/2020","W","307,570","159,603","467,173"
"08/28/2020","W","313,712","163,890","477,602"
"08/29/2020","A","228,415","120,335","348,750"
"08/30/2020","U","172,100","96,089","268,189"
"08/31/2020","W","312,659","156,093","468,752"
"09/01/2020","W","320,186","157,112","477,298"
"09/02/2020","W","335,025","167,989","503,014"
"09/03/2020","W","347,516","172,408","519,924"
"09/04/2020","W","339,339","176,834","516,173"
"09/05/2020","A","239,660","134,087","373,747"
"09/06/2020","U","161,152","98,132","259,284"
"09/07/2020","U","189,391","104,992","294,383"
"09/08/2020","W","288,854","151,558","440,412"
"09/09/2020","W","318,510","162,823","481,333"
"09/10/2020","W","320,927","167,696","488,623"
"09/11/2020","W","323,815","172,643","496,458"
"09/12/2020","A","213,040","118,325","331,365"
"09/13/2020","U","183,881","104,162","288,043"
"09/14/2020","W","314,508","159,479","473,987"
"09/15/2020","W","323,465","166,872","490,337"
"09/16/2020","W","323,500","171,467","494,967"
"09/17/2020","W","322,703","171,455","494,158"
"09/18/2020","W","329,339","179,021","508,360"
"09/19/2020","A","240,028","135,343","375,371"
"09/20/2020","U","175,502","101,785","277,287"
"09/21/2020","W","312,717","160,531","473,248"
"09/22/2020","W","324,554","166,852","491,406"
"09/23/2020","W","326,416","169,407","495,823"
"09/24/2020","W","321,314","169,953","491,267"
"09/25/2020","W","338,121","180,938","519,059"
"09/26/2020","A","239,686","136,388","376,074"
"09/27/2020","U","176,943","102,308","279,251"
"09/28/2020","W","299,874","158,980","458,854"
"09/29/2020","W","323,062","167,874","490,936"
"09/30/2020","W","320,186","169,305","489,491"
"10/01/2020","W","336,911","173,387","510,298"
"10/02/2020","W","349,664","182,413","532,077"
"10/03/2020","A","241,921","133,772","375,693"
"10/04/2020","U","179,954","100,387","280,341"
"10/05/2020","W","326,242","164,517","490,759"
"10/06/2020","W","332,474","168,456","500,930"
"10/07/2020","W","333,595","171,757","505,352"
"10/08/2020","W","334,365","174,469","508,834"
"10/09/2020","W","335,842","183,544","519,386"
"10/10/2020","A","248,858","137,846","386,704"
"10/11/2020","U","181,194","103,244","284,438"
"10/12/2020","W","271,925","145,635","417,560"
"10/13/2020","W","334,145","170,998","505,143"
"10/14/2020","W","334,911","172,419","507,330"
"10/15/2020","W","323,424","172,888","496,312"
"10/16/2020","W","324,544","178,507","503,051"
"10/17/2020","A","231,563","134,238","365,801"
"10/18/2020","U","150,496","92,227","242,723"
"10/19/2020","W","300,842","158,006","458,848"
"10/20/2020","W","310,091","163,811","473,902"
"10/21/2020","W","321,256","167,872","489,128"
"10/22/2020","W","318,012","168,824","486,836"
"10/23/2020","W","288,787","166,459","455,246"
"10/24/2020","A","239,353","132,006","371,359"
"10/25/2020","U","160,807","94,731","255,538"
"10/26/2020","W","294,204","155,238","449,442"
"10/27/2020","W","299,100","158,973","458,073"
"10/28/2020","W","318,538","165,838","484,376"
"10/29/2020","W","304,342","165,360","469,702"
"10/30/2020","W","334,559","172,445","507,004"
"10/31/2020","A","224,885","120,080","344,965"
"11/01/2020","U","149,896","85,934","235,830"
"11/02/2020","W","301,558","154,284","455,842"
"11/03/2020","W","317,723","149,741","467,464"
"11/04/2020","W","306,904","151,147","458,051"
"11/05/2020","W","311,836","158,434","470,270"
"11/06/2020","W","318,896","167,110","486,006"
"11/07/2020","A","226,237","126,890","353,127"
"11/08/2020","U","166,538","94,199","260,737"
"11/09/2020","W","308,098","157,126","465,224"
"11/10/2020","W","298,502","153,003","451,505"
