Date,Whitehall Terminal,St. George Terminal
10/31/2020,8666,8716
11/01/2020,6434,5705
11/02/2020,10931,10692
11/03/2020,9987,9969
11/04/2020,10762,10572
11/05/2020,11576,11452
11/06/2020,11751,12048
11/07/2020,10195,9895
11/08/2020,8948,8516
11/09/2020,11140,11064
11/10/2020,12106,11688
11/11/2020,9713,9671
11/12/2020,10540,10474
11/13/2020,11079,10877
11/14/2020,9177,8933
11/15/2020,6343,6123
11/16/2020,11003,10799
11/17/2020,10946,10642
11/18/2020,10807,10605
11/19/2020,10620,10466
11/20/2020,11352,11411
11/21/2020,8532,8365
11/22/2020,6475,6072
11/23/2020,10211,10296
11/24/2020,10940,10899
11/25/2020,11174,10743
11/26/2020,6044,6392
11/27/2020,9506,9585
11/28/2020,8322,8408
11/29/2020,6924,6910
11/30/2020,9395,9119
12/01/2020,11099,10765
12/02/2020,10632,10480
12/03/2020,10859,10799
12/04/2020,10502,10455
12/05/2020,6566,6297
12/06/2020,6738,6507
12/07/2020,10407,10320
12/08/2020,10510,10444
12/09/2020,10184,9985
12/10/2020,10837,10747
12/11/2020,11335,11385
12/12/2020,7645,7768
12/13/2020,7807,7418
12/14/2020,9534,9375
12/15/2020,10839,10708
12/16/2020,8774,8868
12/17/2020,5487,4951
12/18/2020,10252,10044
12/19/2020,7536,7318
12/20/2020,6070,5932
12/21/2020,10746,10674
12/22/2020,11226,11193
12/23/2020,11303,11087
12/24/2020,9102,8739
12/25/2020,5238,5086
12/26/2020,8177,7941
12/27/2020,7483,7425
12/28/2020,11507,11455
12/29/2020,11154,10984
12/30/2020,11443,11318
12/31/2020,9160,9343
01/01/2021,6846,6240
01/02/2021,10257,10175
01/03/2021,5360,5208
01/04/2021,10221,10218
01/05/2021,10445,10300
01/06/2021,10340,10117
01/07/2021,10091,9890
01/08/2021,10105,10117
01/09/2021,7292,7147
01/10/2021,6183,6020
01/11/2021,9761,9842
01/12/2021,10297,10245
01/13/2021,10250,10079
01/14/2021,10165,10110
01/15/2021,10224,10146
01/16/2021,7289,7178
01/17/2021,6864,6609
01/18/2021,8464,8250
01/19/2021,10348,10254
01/20/2021,9484,9452
01/21/2021,10049,9992
01/22/2021,10453,10506
01/23/2021,7120,6978
01/24/2021,5665,5511
01/25/2021,10057,9951
01/26/2021,9124,8950
01/27/2021,10070,9954
01/28/2021,9835,9718
01/29/2021,8938,8940
01/30/2021,6579,6451
01/31/2021,5205,5090
02/01/2021,3365,3558
02/02/2021,5197,4952
02/03/2021,9437,9364
02/04/2021,10084,10012
02/05/2021,10228,10057
02/06/2021,7706,7524
02/07/2021,4143,3880
02/08/2021,9747,9622
02/09/2021,9540,9485
02/10/2021,10102,9990
02/11/2021,9585,9402
02/12/2021,9868,9914
02/13/2021,7505,7364
02/14/2021,6486,6384
02/15/2021,7600,7296
02/16/2021,10303,10155
02/17/2021,10736,10686
02/18/2021,7699,7653
02/19/2021,8716,8633
02/20/2021,7513,7465
02/21/2021,6585,6301
02/22/2021,9475,9286
02/23/2021,10396,10297
02/24/2021,10933,10847
02/25/2021,10750,10653
02/26/2021,11052,11099
02/27/2021,7099,7050
02/28/2021,5957,5790
03/01/2021,10273,10156
03/02/2021,10411,10324
03/03/2021,11056,11036
03/04/2021,10667,10514
03/05/2021,10835,10943
03/06/2021,8008,7645
03/07/2021,6838,6695
03/08/2021,10638,10357
03/09/2021,11431,11490
03/10/2021,11148,10864
03/11/2021,11807,11826
03/12/2021,11815,12021
03/13/2021,9266,9174
03/14/2021,4810,7158
03/15/2021,11730,10396
03/16/2021,10607,10541
03/17/2021,10923,10914
03/18/2021,9891,9652
03/19/2021,11026,11229
03/20/2021,10277,10059
03/21/2021,9092,8714
03/22/2021,11164,11108
03/23/2021,11483,11451
03/24/2021,10495,10289
03/25/2021,11241,11308
03/26/2021,11994,11874
03/27/2021,10767,10804
03/28/2021,5834,5453
03/29/2021,12087,12125
03/30/2021,15166,15041
03/31/2021,12202,11984
04/01/2021,11922,12069
04/02/2021,11261,11249
04/03/2021,11270,11034
04/04/2021,9101,8756
04/05/2021,11872,11781
04/06/2021,12177,12122
04/07/2021,12136,12071
04/08/2021,11531,11696
04/09/2021,12303,12095
04/10/2021,10424,10313
04/11/2021,5994,5450
04/12/2021,10515,10392
04/13/2021,11773,11797
04/14/2021,11723,11643
04/15/2021,10385,10044
04/16/2021,11605,11646
04/17/2021,10656,10423
04/18/2021,9021,8498
04/19/2021,11493,11380
04/20/2021,12745,12799
04/21/2021,10877,10623
04/22/2021,11294,11358
04/23/2021,12576,12826
04/24/2021,12228,12084
04/25/2021,7184,6633
04/26/2021,11479,11493
04/27/2021,11916,11792
04/28/2021,12791,12823
04/29/2021,11192,10971
04/30/2021,12310,12547
05/01/2021,11216,10812
05/02/2021,9806,9455
05/03/2021,11391,11113
05/04/2021,12100,12189
05/05/2021,11049,10990
05/06/2021,12961,12904
05/07/2021,13256,13218
05/08/2021,9242,8911
05/09/2021,8476,7852
05/10/2021,11719,11617
05/11/2021,12746,12706
05/12/2021,12622,12585
05/13/2021,13403,13349
05/14/2021,14279,14447
05/15/2021,13904,13571
05/16/2021,10706,10117
05/17/2021,13136,13149
05/18/2021,13523,13367
05/19/2021,13644,13378
05/20/2021,13625,13515
05/21/2021,14777,14769
05/22/2021,13920,13540
05/23/2021,11709,11023
05/24/2021,13093,12903
05/25/2021,14031,13932
05/26/2021,13396,13179
05/27/2021,14309,14229
05/28/2021,13381,12929
05/29/2021,13242,13029
05/30/2021,9661,9445
05/31/2021,7596,7198
06/01/2021,14221,14239
06/02/2021,14152,14081
06/03/2021,12773,12427
06/04/2021,13365,13482
06/05/2021,15456,15162
06/06/2021,12241,11453
06/07/2021,14654,14507
06/08/2021,13930,13635
06/09/2021,14490,14287
06/10/2021,16066,15509
06/11/2021,15321,15442
06/12/2021,14898,14233
06/13/2021,12762,12112
06/14/2021,13986,13832
06/15/2021,15620,15622
06/16/2021,15987,15606
06/17/2021,16190,16045
06/18/2021,17280,17368
06/19/2021,14880,14240
06/20/2021,13085,12337
06/21/2021,15751,15669
06/22/2021,13907,13590
06/23/2021,17018,16828
06/24/2021,16666,16385
06/25/2021,17477,17595
06/26/2021,15268,14857
06/27/2021,14342,14065
06/28/2021,16497,15915
06/29/2021,15721,15589
06/30/2021,15662,15252
07/01/2021,14312,14125
07/02/2021,15765,15659
07/03/2021,13308,12744
07/04/2021,17045,17400
07/05/2021,16913,15992
07/06/2021,16659,16496
07/07/2021,16968,16606
07/08/2021,15427,15040
07/09/2021,15255,15218
07/10/2021,16144,15709
07/11/2021,13169,12567
07/12/2021,15431,15141
07/13/2021,16702,16588
07/14/2021,16562,16247
07/15/2021,18035,17807
07/16/2021,17950,18058
07/17/2021,14136,13670
07/18/2021,13830,13158
07/19/2021,16964,16708
07/20/2021,17106,16967
07/21/2021,16299,15756
07/22/2021,18605,18388
07/23/2021,18315,18373
07/24/2021,17866,17293
07/25/2021,13694,12930
07/26/2021,17313,17239
07/27/2021,17510,17446
07/28/2021,17482,17144
07/29/2021,15289,14537
07/30/2021,18061,18449
07/31/2021,17674,17189
08/01/2021,12881,11938
08/02/2021,17308,17198
08/03/2021,17525,17174
08/04/2021,16818,16586
08/05/2021,17318,17106
08/06/2021,17164,17676
08/07/2021,16110,15741
08/08/2021,12096,11247
08/09/2021,16737,16495
08/10/2021,16058,15783
08/11/2021,16474,16138
08/12/2021,15705,15551
08/13/2021,16169,16287
08/14/2021,14209,13584
08/15/2021,14299,13656
08/16/2021,16681,16435
08/17/2021,16803,16550
08/18/2021,15918,15801
08/19/2021,15873,15702
08/20/2021,16351,16499
08/21/2021,13848,13353
08/22/2021,4539,4008
08/23/2021,12940,12734
08/24/2021,16722,16554
08/25/2021,16267,16014
08/26/2021,16074,15660
08/27/2021,15125,14913
08/28/2021,12544,12114
08/29/2021,12573,21066
08/30/2021,14973,14572
08/31/2021,15882,15519
09/01/2021,12373,11973
09/02/2021,10836,10889
09/03/2021,15787,16146
09/04/2021,16446,15557
09/05/2021,13435,12540
09/06/2021,13844,13377
09/07/2021,15692,15733
09/08/2021,15530,15156
09/09/2021,13989,13932
09/10/2021,17872,17704
09/11/2021,16502,16149
09/12/2021,13075,12060
09/13/2021,17009,16485
09/14/2021,17413,17017
09/15/2021,17408,17100
09/16/2021,15784,15598
09/17/2021,17027,17088
09/18/2021,16515,16281
09/19/2021,14723,13833
09/20/2021,17622,17268
09/21/2021,17536,17281
09/22/2021,17249,17027
09/23/2021,16835,16391
09/24/2021,18267,17966
09/25/2021,16400,16291
09/26/2021,16174,14455
09/27/2021,17593,17321
09/28/2021,15869,15672
09/29/2021,17166,16990
09/30/2021,17244,17069
10/01/2021,17997,18352
10/02/2021,15764,15368
10/03/2021,13908,12749
10/04/2021,16294,16015
10/05/2021,17163,16925
10/06/2021,17322,17085
10/07/2021,18147,18288
10/08/2021,18640,18996
10/09/2021,15827,15525
10/10/2021,11346,10594
10/11/2021,16276,16027
10/12/2021,18063,17980
10/13/2021,17711,17567
10/14/2021,18528,18660
10/15/2021,19438,19712
10/16/2021,14903,14597
10/17/2021,13143,12486
10/18/2021,17380,17402
10/19/2021,17475,17727
10/20/2021,17630,17673
10/21/2021,18143,18112
10/22/2021,18694,18917
10/23/2021,14392,14066
10/24/2021,12971,12253
10/25/2021,18037,17907
10/26/2021,13173,12834
10/27/2021,17084,17296
10/28/2021,18373,18420
10/29/2021,17556,17526
10/30/2021,12224,12314
10/31/2021,12487,12301
11/01/2021,18310,17488
11/02/2021,15392,15248
11/03/2021,17606,17503
11/04/2021,17451,17337
11/05/2021,18265,18438
11/06/2021,15041,14663
11/07/2021,26981,13534
11/08/2021,17673,17620
11/09/2021,18037,17998
11/10/2021,18117,18131
11/11/2021,17205,16843
11/12/2021,17268,17338
11/13/2021,14179,13807
11/14/2021,12419,11478
11/15/2021,17221,17147
11/16/2021,17638,17616
11/17/2021,17673,17523
11/18/2021,18679,18787
11/19/2021,18386,18649
11/20/2021,14639,14230
11/21/2021,13142,12126
11/22/2021,18397,17877
11/23/2021,19279,18874
11/24/2021,19723,19222
11/25/2021,14700,13108
11/26/2021,15323,15709
11/27/2021,15528,15769
11/28/2021,11187,10734
11/29/2021,17466,18132
11/30/2021,17211,17253
12/01/2021,18118,18023
12/02/2021,18732,18787
12/03/2021,19955,20272
12/04/2021,17030,16654
12/05/2021,13709,12791
12/06/2021,19320,19226
12/07/2021,19391,19146
12/08/2021,17710,17648
12/09/2021,18429,18447
12/10/2021,19584,19679
12/11/2021,15262,15020
12/12/2021,14029,13164
12/13/2021,18527,18415
12/14/2021,18058,17966
12/15/2021,17481,17452
12/16/2021,18046,18139
12/17/2021,19056,19191
12/18/2021,12410,12004
12/19/2021,13420,12834
12/20/2021,18322,18239
12/21/2021,18237,18113
12/22/2021,17234,17073
12/23/2021,16924,16763
12/24/2021,12370,11794
12/25/2021,10312,9914
12/26/2021,17632,17199
12/27/2021,17885,17700
12/28/2021,20477,20288
12/29/2021,17446,17221
12/30/2021,19177,18957
12/31/2021,13438,14031
01/01/2022,10327,8918
01/02/2022,12372,12053
01/03/2022,13465,13441
01/04/2022,14519,14340
01/05/2022,12710,12664
01/06/2022,14368,14259
01/07/2022,10927,11078
01/08/2022,9826,9869
01/09/2022,7144,6648
01/10/2022,13419,13333
01/11/2022,12018,11851
01/12/2022,13357,13219
01/13/2022,14110,14012
01/14/2022,14241,14301
01/15/2022,8784,8521
01/16/2022,7881,7445
01/17/2022,8790,8777
01/18/2022,13913,14001
01/19/2022,14383,14316
01/20/2022,12884,12786
01/21/2022,13432,13666
01/22/2022,9418,9416
01/23/2022,8038,7673
01/24/2022,14036,14008
01/25/2022,14685,14577
01/26/2022,14057,13776
01/27/2022,14165,14204
01/28/2022,14344,14924
01/29/2022,3773,3535
01/30/2022,6923,6518
01/31/2022,13814,13827
02/01/2022,14409,14279
02/02/2022,15468,15320
02/03/2022,14517,14356
02/04/2022,13347,13380
02/05/2022,10488,10709
02/06/2022,9219,8525
02/07/2022,14481,14460
02/08/2022,16327,16259
02/09/2022,16599,16340
02/10/2022,16855,16954
02/11/2022,16559,17038
02/12/2022,14429,14446
02/13/2022,7982,7030
02/14/2022,16042,16349
02/15/2022,16262,15998
02/16/2022,16331,16309
02/17/2022,17261,17281
02/18/2022,16490,16756
02/19/2022,11762,11669
02/20/2022,11903,11142
02/21/2022,15116,14957
02/22/2022,15338,15371
02/23/2022,18890,18933
02/24/2022,16432,16339
02/25/2022,13857,13965
02/26/2022,12627,12660
02/27/2022,10964,10367
02/28/2022,16487,16384
03/01/2022,16893,16954
03/02/2022,17503,17397
03/03/2022,17249,17094
03/04/2022,16961,17125
03/05/2022,13519,13406
03/06/2022,11629,10994
03/07/2022,17879,17667
03/08/2022,18060,17831
03/09/2022,15082,14825
03/10/2022,18534,18645
03/11/2022,19843,19914
03/12/2022,8984,8694
03/13/2022,7465,10225
03/14/2022,19890,19958
03/15/2022,20153,20005
03/16/2022,20994,20752
03/17/2022,17244,17205
03/18/2022,23425,23700
03/19/2022,14853,14406
03/20/2022,13229,12408
03/21/2022,19684,19490
03/22/2022,19769,19417
03/23/2022,18273,18186
03/24/2022,16170,16278
03/25/2022,20690,20915
03/26/2022,15255,14858
03/27/2022,12482,11679
03/28/2022,16889,16737
03/29/2022,18219,18120
03/30/2022,18134,18105
03/31/2022,18396,18491
04/01/2022,18766,18909
04/02/2022,16831,16726
04/03/2022,10334,9315
04/04/2022,20798,20650
04/05/2022,19471,19354
04/06/2022,17211,17128
04/07/2022,16531,16431
04/08/2022,22178,22225
04/09/2022,16777,16126
04/10/2022,13965,13254
04/11/2022,24447,24096
04/12/2022,22658,22388
04/13/2022,22659,22396
04/14/2022,22930,22862
04/15/2022,24426,24430
04/16/2022,19785,18932
04/17/2022,15209,14243
04/18/2022,19811,19873
04/19/2022,18746,18614
04/20/2022,23468,23152
04/21/2022,20487,20143
04/22/2022,22749,22857
