Date,Boardings
09/15/2024,33289
09/14/2024,40396
09/13/2024,24772
09/12/2024,23330
09/11/2024,24454
09/10/2024,23062
09/09/2024,20347
09/08/2024,36585
09/07/2024,21182
09/06/2024,20940
09/05/2024,23766
09/04/2024,24597
09/03/2024,23274
09/02/2024,46006
09/01/2024,34637
08/31/2024,37683
08/30/2024,22716
08/29/2024,24586
08/28/2024,25090
08/27/2024,28055
08/26/2024,23068
08/25/2024,45217
08/24/2024,47915
08/23/2024,29586
08/22/2024,25685
08/21/2024,27273
08/20/2024,25763
08/19/2024,21417
08/18/2024,23372
08/17/2024,36329
08/16/2024,29523
08/15/2024,28232
08/14/2024,27912
08/13/2024,28963
08/12/2024,24911
08/11/2024,43233
08/10/2024,48486
08/09/2024,12812
08/08/2024,14782
08/07/2024,15342
08/06/2024,20291
08/05/2024,27900
08/04/2024,21597
08/03/2024,33042
08/02/2024,21843
08/01/2024,26528
07/31/2024,22607
07/30/2024,26467
07/29/2024,22518
07/28/2024,44652
07/27/2024,51525
07/26/2024,30757
07/25/2024,25151
07/24/2024,22052
07/23/2024,22864
07/22/2024,22933
07/21/2024,45347
07/20/2024,47926
07/19/2024,30703
07/18/2024,25762
07/17/2024,23188
07/16/2024,24463
07/15/2024,22735
07/14/2024,38283
07/13/2024,33334
07/12/2024,20160
07/11/2024,26275
07/10/2024,24721
07/09/2024,24758
07/08/2024,23075
07/07/2024,35737
07/06/2024,37335
07/05/2024,29663
07/04/2024,42313
07/03/2024,27935
07/02/2024,28369
07/01/2024,27007
06/30/2024,20736
06/29/2024,35964
06/28/2024,29093
06/27/2024,28814
06/26/2024,23002
06/25/2024,26269
06/24/2024,23102
06/23/2024,32231
06/22/2024,37563
06/21/2024,25135
06/20/2024,24693
06/19/2024,43043
06/18/2024,25926
06/17/2024,26876
06/16/2024,45335
06/15/2024,50735
06/14/2024,22254
06/13/2024,27214
06/12/2024,24335
06/11/2024,23043
06/10/2024,22255
06/09/2024,31377
06/08/2024,48794
06/07/2024,28641
06/06/2024,18856
06/05/2024,23277
06/04/2024,24998
06/03/2024,22209
06/02/2024,37360
06/01/2024,50458
05/31/2024,25597
05/30/2024,21638
05/29/2024,22762
05/28/2024,25492
05/27/2024,11390
05/26/2024,50701
05/25/2024,48242
05/24/2024,29679
05/23/2024,18985
05/22/2024,27343
05/21/2024,25610
05/20/2024,21717
05/19/2024,31143
05/18/2024,25870
05/17/2024,22411
05/16/2024,17716
05/15/2024,15292
05/14/2024,20653
05/13/2024,18835
05/12/2024,12599
05/11/2024,29153
05/10/2024,12081
05/09/2024,18988
05/08/2024,21570
05/07/2024,26737
05/06/2024,18017
05/05/2024,10041
05/04/2024,25631
05/03/2024,18607
05/02/2024,22712
05/01/2024,22080
04/30/2024,18565
04/29/2024,27990
04/28/2024,37033
04/27/2024,22563
04/26/2024,26600
04/25/2024,31975
04/24/2024,20171
04/23/2024,20838
04/22/2024,19768
04/21/2024,15276
04/20/2024,27049
04/19/2024,15473
04/18/2024,13152
04/17/2024,15982
04/16/2024,22096
04/15/2024,21182
04/14/2024,25417
04/13/2024,13174
04/12/2024,12219
04/11/2024,13882
04/10/2024,17909
04/09/2024,21978
04/08/2024,15373
04/07/2024,19550
04/06/2024,19750
04/05/2024,13523
04/04/2024,15109
04/03/2024,8701
04/02/2024,11492
04/01/2024,12955
03/31/2024,22277
03/30/2024,29558
03/29/2024,19227
03/28/2024,11352
03/27/2024,15572
03/26/2024,16496
03/25/2024,15846
03/24/2024,12981
03/23/2024,2860
03/22/2024,12479
03/21/2024,13309
03/20/2024,14135
03/19/2024,14133
03/18/2024,13363
03/17/2024,16054
03/16/2024,19557
03/15/2024,16200
03/14/2024,20449
03/13/2024,17546
03/12/2024,18552
03/11/2024,10283
03/10/2024,9056
03/09/2024,6487
03/08/2024,15965
03/07/2024,13875
03/06/2024,11668
03/05/2024,11254
03/04/2024,13707
03/03/2024,20253
03/02/2024,3771
03/01/2024,12363
02/29/2024,12691
02/28/2024,12073
02/27/2024,13625
02/26/2024,11699
02/25/2024,8270
02/24/2024,11221
02/23/2024,10277
02/22/2024,12826
02/21/2024,13011
02/20/2024,12848
02/19/2024,8704
02/18/2024,8696
02/17/2024,6536
02/16/2024,11276
02/15/2024,12812
02/14/2024,12965
02/13/2024,5158
02/12/2024,12196
02/11/2024,8222
02/10/2024,13315
02/09/2024,12746
02/08/2024,13866
02/07/2024,13902
02/06/2024,13720
02/05/2024,11585
02/04/2024,9209
02/03/2024,11069
02/02/2024,9819
02/01/2024,12657
01/31/2024,12710
01/30/2024,12768
01/29/2024,10822
01/28/2024,3703
01/27/2024,10070
01/26/2024,10500
01/25/2024,11939
01/24/2024,11035
01/23/2024,12117
01/22/2024,10361
01/21/2024,4739
01/20/2024,5277
01/19/2024,7597
01/18/2024,11046
01/17/2024,10680
01/16/2024,8870
01/15/2024,4916
01/14/2024,6585
01/13/2024,9161
01/12/2024,11433
01/11/2024,13574
01/10/2024,11504
01/09/2024,9539
01/08/2024,12013
01/07/2024,3930
01/06/2024,6286
01/05/2024,11366
01/04/2024,13152
01/03/2024,14444
01/02/2024,14162
01/01/2024,7957
12/31/2023,7832
12/30/2023,12598
12/29/2023,19489
12/28/2023,12447
12/27/2023,10747
12/26/2023,13418
12/25/2023,6219
12/24/2023,6874
12/23/2023,8744
12/22/2023,11250
12/21/2023,12033
12/20/2023,12883
12/19/2023,12964
12/18/2023,7344
